Food item name,FDC ID,FEEDTABLES ID,Alternative food name; Based on assumptions made from USDA FDC 
Barley (not hulless varieties),,12434,
"Barley, dehulled (11,8% protein)",170283 ,,Hulled barley
Biscuits (CP>12%),172670 ,,Biscuits (plain / buttermilk) 
Bread,172686 ,,Wheat bread
Maize flour/Corn flour,170290 ,,"Cornflour, whole grain, yellow"
Maize/corn,,12432,
Maize (extruded)/extruded corn,,12484,
Maize (flaked)/flaked corn/rolled corn,,12426,
"Maize (high moisure)/humid corn - 60-70% dry matter, raw",,12485,
Maize bran,,12346,
"Maize, yellow dent (7,5% protein)",170288 ,,Yellow corn grain 
"Maize, nutridense (8,8% protein)",170288 ,,Yellow corn grain 
"Maize, high lysine",170288 ,,Yellow corn grain 
"Millet, finger",169702 ,,Raw millet
"Millet, pearl (Penisetum glaucum (l) R. Br)/candle millet/dark millet/bajra/Indian millet/horse millet/bulrush millet/cattail millet",,12656,
"Millet, proso (Panicum miliaceum L.)/common millet/broomtail millet/hog millet/white millet/broomcorn millet",,12657,
Oat groats (Avena sativa L.)/oat grain from whuch hulls have been removed,,12374,
Oats (Avena sativa L.),,12460,
Oats (Avena sativa L.),,12460,
"Oats, flaked/flaked or rolled oat grain",,12425,
"Oats, dehulled (13,1% protein)",169705 ,,Regular oats 
Rice,168883 ,,"Rice, white, glutinous, unenriched, uncooked"
"Rice, brown (Oryza sativa L.)/unpolished rice without the hulls but with the outer grain layers",,12367,
"Rice, paddy/whole rice grain with the hulls included",,12532,
"Rice, polished, broken (byproduct of the polishing process consisting of small or broken grains)",,12450,
"Rice, white, polished (9,0% protein)",169760 ,,"Rice, white, medium-grain, raw, unenriched"
Rice bran,169713 ,,Crude rice bran
Rye (Secale cereale L.) ,,12443,
"Rye (12,1% protein)",168884 ,,Rye grain
"Seitan (wheat based protein), 20,9 g/100 g protein)",FRIDA,FRIDA,
"Sorghum (Sorghum bicolor (L) Moench, low tannin variety",,12462,
"Sorghum (Sorghum bicolor (L) Moench, low tannin variety",,12462,
"Sorghum (9,8% protein)",169716 ,,Sorghum grain 
Triticale (Triticum x Secale),,12449,
"Wheat, durum",,12381,
"Wheat, soft",,12429,
"Wheat flour (fibre < 3,5%)",,12526,
"Wheat (11,9% protein)",169720 ,,"Wheat, soft white "
"Zein protein isolate (89% proteins, Sigma-Aldrich)",NO DATA,NO DATA,
"Beet pulp, dried",,12447,
"Beet pulp, pressed",,12459,
"Cassava pulp, dried",,269566,
Cassava (starch 66-70%),,12384,
"Cassava, starch 70-74%",,12438,
"Chicory pulp, dehydrated",,12404,
Potato protein concentrate,,12371,
"Potato pulp, dried",,12480,
"Potato tuber, dried",,12369,
Potato crisps,168853 ,,"Snack, potato chips, made from dried potatoes, plain"
Potato fries (fat 4-12%) ,170698 ,,"Fast foods, potato, french fried in vegetable oil"
Potato fries (fat 12-18%),170698 ,,"Fast foods, potato, french fried in vegetable oil"
Potato fries (fat >18%),170698 ,,"Fast foods, potato, french fried in vegetable oil"
Potato (dehydrated),170041 ,,Dehydrated mashed potatoes 
"Potato peelings, steamed, starch <35%)",170034 ,,"Potatoes, baked, skin, without salt"
"Potato peelings, steamed, starch 35-47,5%)",170034 ,,"Potatoes, baked, skin, without salt"
"Potato peelings, steamed, starch 47,5-60%)",170034 ,,"Potatoes, baked, skin, without salt"
"Potato peelings, steamed, starch >60%)",170034 ,,"Potatoes, baked, skin, without salt"
"Potato (sweet, dehydrated)",168482 ,,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"
"Sweet potato, dried",168482 ,,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"
