Food Item,Energy (kJ/100g),Dietary Fiber (g/100g),Fat (g/100g),Ash (g/100g),Total sugars (g/100g),Calcium (mg/100g),Phosphorus (mg/100g),Magnesium (mg/100g),Potassium (mg/100g),Sodium (mg/100g),Manganese (mg/100g),Zinc (mg/100g),Copper (mg/100g),Iron (mg/100g),Selenium (ug/100g)
Barley (not hulless varieties),1830,5.4,1.9,2.5,2.5,80,390,130,550,11,1.8,3.4,0.9,12.3,10
"Barley, dehulled (11,8% protein)",1481,17.3,2.3,2.29,0.8,33,264,133,452,12,1.943,2.77,0.498,3.6,22
Biscuits (CP>12%),1477,1.5,16.3,3.2,2.18,235,164,18,121,580,0.378,0.54,0.082,2.9,82
Bread,1145,4,4.53,2.01,5.73,125,129,41,141,473,1.026,1.04,0.148,3.6,2
Maize flour/Corn flour,1510,7.3,3.86,1.45,0.64,7,272,93,315,5,0.46,1.73,0.23,2.38,214
Maize/corn,1860,2.6,4.1,1.4,2,50,290,120,360,4,1,2.4,0.3,4,10
Maize (extruded)/extruded corn,1860,2.6,4.1,1.4,2,50,290,120,360,4,1,2.4,0.3,4,10
Maize (flaked)/flaked corn/rolled corn,1860,2.6,4.1,1.4,2,50,290,120,360,4,1,2.4,0.3,4,10
"Maize (high moisure)/humid corn - 60-70% dry matter, raw",1860,2.6,3.9,1.6,2,50,310,120,380,4,1,2.4,0.3,4,10
Maize bran,1910,8.6,4.7,4.5,2.8,300,330,220,750,13,1.5,9.7,0.7,6.8,20
"Maize, yellow dent (7,5% protein)",1527,7.3,4.74,1.2,0.64,7,210,127,287,35,0.485,2.21,0.314,2.71,214
"Maize, nutridense (8,8% protein)",1527,7.3,4.74,1.2,0.64,7,210,127,287,35,0.485,2.21,0.314,2.71,214
"Maize, high lysine",1527,7.3,4.74,1.2,0.64,7,210,127,287,35,0.485,2.21,0.314,2.71,214
"Millet, finger",1582,8.5,4.22,3.25,0,8,285,114,195,5,1.632,1.68,0.75,3.01,0
"Millet, pearl (Penisetum glaucum (l) R. Br)/candle millet/dark millet/bajra/Indian millet/horse millet/bulrush millet/cattail millet",1910,3.2,4.8,2.8,2.2,50,330,130,410,9,2.2,3.2,0.7,5.8,20
"Millet, proso (Panicum miliaceum L.)/common millet/broomtail millet/hog millet/white millet/broomcorn millet",1930,7.4,5.6,4,1.9,40,300,130,410,9,1.3,3.2,0.7,5.8,20
Oat groats (Avena sativa L.)/oat grain from whuch hulls have been removed,1880,4.5,3.1,2.5,1.6,100,340,100,430,8,3.7,3,0.3,10.9,10
Oats (Avena sativa L.),1950,13.1,5.4,2.9,1.5,110,360,110,510,13,4.7,2.7,0.4,10.9,20
Oats (Avena sativa L.),1950,13.1,5.4,2.9,1.5,110,360,110,510,13,4.7,2.7,0.4,10.9,20
"Oats, flaked/flaked or rolled oat grain",1950,13.1,5.4,2.9,1.5,110,360,110,510,13,4.7,2.7,0.4,10.9,20
"Oats, dehulled (13,1% protein)",1628,10.6,6.9,1.72,0,54,523,177,429,2,4.916,3.97,0.626,4.72,0
Rice,1548,2.8,0.55,0.49,0,11,71,23,77,7,0.974,1.2,0.171,1.6,0
"Rice, brown (Oryza sativa L.)/unpolished rice without the hulls but with the outer grain layers",1830,2.4,2.8,1.9,1.2,50,360,140,350,35,2.9,2,0.3,1.8,20
"Rice, paddy/whole rice grain with the hulls included",1770,11,2.5,5.8,1.2,70,280,170,310,28,7.8,2,0.6,1.8,20
"Rice, polished, broken (byproduct of the polishing process consisting of small or broken grains)",1800,0.6,1.3,1,0.5,40,240,110,210,35,1.1,1.5,1.3,5,10
"Rice, white, polished (9,0% protein)",1506,0.7,0.58,0.58,0,9,108,35,86,1,1.1,1.16,0.11,0.8,6
Rice bran,1322,21,20.85,9.98,0.9,57,1677,781,1485,5,14.21,6.04,0.728,18.54,0
Rye (Secale cereale L.) ,1800,2.3,1.4,2,3.6,70,350,120,520,4,5.3,2.5,0.6,6.5,8
"Rye (12,1% protein)",1414,15.1,1.63,1.57,0.98,24,332,110,510,2,2.577,2.65,0.367,2.63,11
"Seitan (wheat based protein), 20,9 g/100 g protein)",818,2.1,7.2,2,0.475,36,86.6,25.3,86.8,653,0.71,1.41,0.279,1.74,31.8
"Sorghum (Sorghum bicolor (L) Moench, low tannin variety",1870,2.8,3.3,2.1,1.3,30,350,170,410,18,1.5,2.4,0.6,10,50
"Sorghum (Sorghum bicolor (L) Moench, low tannin variety",1870,2.8,3.3,2.1,1.3,30,350,170,410,18,1.5,2.4,0.6,10,50
"Sorghum (9,8% protein)",1377,6.7,3.46,1.43,2.53,13,289,165,363,2,1.605,1.67,0.284,3.36,0
Triticale (Triticum x Secale),1810,2.9,1.4,2,3.5,70,380,120,570,7,2.4,2.8,0.6,4.6,0
"Wheat, durum",1850,3,2,2.1,3.2,80,390,120,490,11,3.5,3,0.5,5.6,10
"Wheat, soft",1820,2.7,1.6,1.8,3,70,360,110,450,6,3.5,3,0.5,5.6,10
"Wheat flour (fibre < 3,5%)",1920,1.3,3.8,2.7,5.9,100,610,180,810,7,0.9,0.9,0.6,1.5,5
"Wheat (11,9% protein)",1423,12.7,1.99,1.54,0.41,34,402,90,435,2,3.406,3.46,0.426,5.37,9
"Zein protein isolate (89% proteins, Sigma-Aldrich)",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Beet pulp, dried",1710,19.3,0.9,7.1,7.8,1450,100,180,450,60,8,2.2,0.6,67.9,10
"Beet pulp, pressed",1710,20.8,0.5,6.8,5.2,1430,100,170,470,331,7,1.7,0.5,47.1,10
"Cassava pulp, dried",1760,17.3,0.7,4,3.3,650,60,70,10,9,0,10.2,0.5,28.2,100
Cassava (starch 66-70%),1680,4.3,0.7,4.5,2.4,180,110,90,1000,40,2.6,3.6,0.4,16.6,8
"Cassava, starch 70-74%",1700,3.4,0.7,3.1,2.7,140,110,90,990,44,2.3,3.3,0.4,14.3,7
"Chicory pulp, dehydrated",1730,21.2,1.7,7.1,9.8,940,160,280,680,44,2.2,2.3,1.1,3.1,0
Potato protein concentrate,2220,0.9,0.7,2.6,0.5,220,450,50,590,45,0.3,2.2,3.9,35.7,100
"Potato pulp, dried",1760,18.6,0.4,3.5,1.8,400,140,160,860,150,5,4.6,0.8,79.1,0
"Potato tuber, dried",1700,2.5,0.4,6.2,5.3,110,230,100,2260,28,2.1,2.8,0.6,6.5,4
Potato crisps,2280,2.9,35.28,2.34,0.76,17,110,40,637,529,0.26,0.58,0.136,0.8,0
Potato fries (fat 4-12%) ,1305,3.8,14.73,1.85,0.3,18,125,35,579,210,0.247,0.5,0.124,0.81,0
Potato fries (fat 12-18%),1305,3.8,14.73,1.85,0.3,18,125,35,579,210,0.247,0.5,0.124,0.81,0
Potato fries (fat >18%),1305,3.8,14.73,1.85,0.3,18,125,35,579,210,0.247,0.5,0.124,0.81,0
Potato (dehydrated),1494,6.6,1.1,4,3.37,142,237,74,1848,82,0.488,1.2,0.578,3.5,75
"Potato peelings, steamed, starch <35%)",830,7.9,0.1,2.24,1.4,34,101,43,573,21,0.616,0.49,0.817,7.04,10
"Potato peelings, steamed, starch 35-47,5%)",830,7.9,0.1,2.24,1.4,34,101,43,573,21,0.616,0.49,0.817,7.04,10
"Potato peelings, steamed, starch 47,5-60%)",830,7.9,0.1,2.24,1.4,34,101,43,573,21,0.616,0.49,0.817,7.04,10
"Potato peelings, steamed, starch >60%)",830,7.9,0.1,2.24,1.4,34,101,43,573,21,0.616,0.49,0.817,7.04,10
"Potato (sweet, dehydrated)",359,3,0.05,0.99,4.18,30,47,25,337,55,0.258,0.3,0.151,0.61,14187
"Sweet potato, dried",359,3,0.05,0.99,4.18,30,47,25,337,55,0.258,0.3,0.151,0.61,14187
